"","trip_id","direction_id","route_id","date_time","vehicle_id","segement","segement_name","segement_type","time_diff","ttl_diff","speed_avg","flag_peak","time_diff_pct"
"26","10906029__MCOB-DO:171:5:Saturday:1:23MAR:41050:6","south_bound",202,2023-05-20 16:30:20,19118,"482_459","23rd_Hewitt","middle_end",330,1311.44393246628,8.88974589247091,"PMPeak",0.183333333333333
"27","10906029__MCOB-DO:171:5:Saturday:1:23MAR:41050:6","south_bound",202,2023-05-20 16:24:50,19118,"497_482","18th_23rd","middle_middle",1800,452.109484343477,0.561855545260756,"PMPeak",1
"28","10906029__MCOB-DO:171:5:Saturday:1:23MAR:41050:6","south_bound",202,2023-05-20 16:22:50,19118,"537_509","ramp_14th","middle_middle",91,1333.27070927306,32.7740796408621,"PMPeak",0.0505555555555556
"29","10906029__MCOB-DO:171:5:Saturday:1:23MAR:41050:6","south_bound",202,2023-05-20 16:21:19,19118,"636_537","4th_ramp","middle_middle",360,4836.1547170719,30.0504683005221,"PMPeak",0.2
"30","10906029__MCOB-DO:171:5:Saturday:1:23MAR:41050:6","south_bound",202,2023-05-20 16:15:19,19118,"657_636","grove_4th","middle_middle",150,1085.43690643448,16.1870192782128,"PMPeak",0.0833333333333333
"31","10906029__MCOB-DO:171:5:Saturday:1:23MAR:41050:6","south_bound",202,2023-05-20 16:12:49,19118,"689_657","88th_grove","middle_middle",241,1559.85772647982,14.4784311337795,"PMPeak",0.133888888888889
"32","10906029__MCOB-DO:171:5:Saturday:1:23MAR:41050:6","south_bound",202,2023-05-20 16:08:48,19118,"712_689","100th_88th","end_middle",120,1100.29227701404,20.5106950414557,"PMPeak",0.0666666666666667
"33","10906040__MCOB-DO:171:5:Saturday:1:23MAR:41019:6","south_bound",201,2023-05-20 07:54:46,17100,"459_712","Hewitt_100th","end_end",1021,12358.7327536958,27.0770756230374,"AMPeak",0.567222222222222
"34","10906040__MCOB-DO:171:5:Saturday:1:23MAR:41019:6","south_bound",201,2023-05-20 07:54:46,17100,"482_459","23rd_Hewitt","middle_end",150,1293.56710834526,19.2908455538227,"AMPeak",0.0833333333333333
"35","10906040__MCOB-DO:171:5:Saturday:1:23MAR:41019:6","south_bound",201,2023-05-20 07:52:16,17100,"497_482","18th_23rd","middle_middle",1800,441.349484054209,0.548483638590159,"AMPeak",1
